,WORD,FREQ
458,TRAEGT,1500
459,GAB,1493
460,PAPA,1491
461,NEB,1485
462,STEIN,1484
463,GIANNA,1480
464,IRGENDWI,1474
465,STUECK,1463
466,TROTZD,1460
467,RENN,1459
468,CHECK,1455
469,DARUM,1449
470,MEIST,1447
471,BAUCH,1446
472,NENN,1443
473,VORN,1439
474,SCHREIT,1432
475,BERG,1432
476,PASS,1431
477,FING,1419
478,DEUTSCHLAND,1418
479,JAJA,1415
480,TASCH,1406
481,VERZEIH,1402
482,EIS,1401
483,NAEH,1400
484,GEBOR,1383
485,WILD,1382
486,FORT,1382
487,SEHNSUCHT,1378
488,MERCED,1378
489,UP,1375
490,GEHOERT,1372
491,GERAD,1370
492,GEDANK,1369
493,DANACH,1366
494,OFF,1360
495,ACH,1357
496,BLUT,1355
497,OUT,1354
498,REST,1350
499,VERGISST,1349
500,BYE,1346
501,DESHALB,1341
502,HOERST,1341
503,RUFT,1336
504,BLOCK,1333
505,ONE,1329
506,WAG,1324
507,SPIELT,1323
508,FREMD,1322
509,ZUHAUS,1322
510,CHILL,1315
511,FEIERN,1314
512,DRAN,1312
513,SCHRITT,1305
514,KIFF,1305
515,STOLZ,1304
516,POW,1304
517,WILLKOMM,1302
518,NAECH,1301
519,SCHLAG,1300
520,MOND,1299
521,SOLANG,1299
522,PLAN,1288
523,BEWEG,1286
524,STEHN,1284
525,FUEHLT,1281
526,REICHT,1281
527,MUTT,1280
528,KONNT,1276
529,GO,1276
530,REIS,1275
531,LILA,1275
532,RUND,1267
533,FAENGT,1266
534,COOL,1265
535,SCHLAEGT,1261
536,STRAND,1259
537,FALSCH,1252
538,LIF,1247
539,WAND,1245
540,APACH,1237
541,TOTAL,1234
542,UNEND,1233
543,DAZU,1227
544,NIMMT,1225
545,VAT,1222
546,LIK,1221
547,CASH,1220
548,DOWN,1219
549,DACHT,1206
550,EASY,1205
551,RUH,1204
552,PAPI,1202
553,KAUM,1199
554,MONEY,1199
555,THIS,1195
556,GETRAEUMT,1192
557,GAS,1191
558,KAEMPF,1189
559,VERTRAU,1188
560,BESCHEID,1188
561,ESS,1184
562,GEGLAUBT,1184
563,SCHUH,1179
564,NET,1173
565,LUEG,1165
566,HIT,1163
567,BOD,1162
568,FENST,1161
569,SKANDAL,1160
570,GRAU,1157
571,MEISTERSCHAFT,1157
572,WENIG,1155
573,HEIM,1154
574,ZAEHLT,1152
575,BEIN,1149
576,BLA,1149
577,KIPP,1147
578,BRATAN,1147
579,LOUIS,1145
580,VERSTAND,1144
581,VERSUCH,1144
582,SOWAS,1141
583,WEINT,1140
584,HAMBURG,1138
585,SITZT,1136
586,VERDIENT,1136
587,RUNT,1135
588,WAN,1132
589,STREIT,1130
590,VERGISS,1130
591,DIGGA,1124
592,ANFANG,1122
593,PROBL,1121
594,UNTERWEG,1118
595,KRASS,1118
596,FLASCH,1116
597,ANDR,1111
598,FILM,1110
599,HMM,1109
600,OHO,1108
601,TRAU,1106
602,TUERLICH,1104
603,WERT,1102
604,DIREKT,1102
605,KRANK,1099
606,VERLASS,1098
607,PARA,1097
608,NOT,1096
609,TOT,1095
610,WHAT,1094
611,WIEN,1092
612,GHETTO,1089
613,TRAURIG,1087
614,HOBBY,1081
615,FROH,1077
616,COM,1077
617,AMOR,1065
618,GETAN,1060
619,POLIZEI,1060
620,GEBLIEB,1059
621,HAHA,1059
622,ERLEB,1057
623,NORMAL,1057
624,RADIO,1055
625,KRIEGT,1049
626,ZIEHT,1049
627,LEG,1049
628,ZWAR,1049
629,BANG,1048
630,BAND,1045
631,RRAH,1045
632,HAM,1041
633,SECH,1041
634,DRIN,1038
635,WEST,1036
636,SCHAUT,1034
637,ENTSCHEID,1033
638,THAT,1031
639,CHANC,1031
640,HÃ,1031
641,MERK,1027
642,SETZ,1025
643,HAU,1019
644,MAGISCH,1017
645,HE,1016
646,STRESS,1016
647,FARB,1014
648,DUNKEL,1012
649,SHIT,1012
650,ZEIGT,1011
651,FREIHEIT,1009
652,ZUKUNFT,1008
653,VERMISST,1008
654,HUNDERT,1007
655,KAPUTT,1006
656,SOGAR,1006
657,CITY,1005
658,NUNG,1002
659,FLEX,1000
660,LAECHELN,999
661,ZAERTLICH,996
662,BREIT,991
663,PLATT,991
664,MON,991
665,KING,990
666,OLE,989
667,ZIMM,987
668,DAN,983
669,ROCK,982
670,SCHLUSS,981
671,HIP,980
672,FUENF,979
673,KREIS,979
674,AHH,979
675,HERR,978
676,BOES,973
677,MUT,972
678,MEINT,972
679,HOLT,972
680,BUECK,972
681,HINTERH,971
682,NAHM,970
683,LAD,970
684,TELEFON,969
685,DEI,967
686,GEFUND,966
687,HILFT,966
688,SCHWACH,966
689,CATALEYA,966
690,GLAUBT,965
691,RAN,965
692,SCHATT,964
693,HEB,964
694,RETT,961
695,OHR,959
696,SOLLT,959
697,UNSR,958
698,WUSST,957
699,SCHLIMM,955
700,WAEHREND,955
701,GUCCI,954
702,DEAL,953
703,SOFORT,952
704,MUED,949
705,KNOW,948
706,GROESST,948
707,WAERST,946
708,FUEHRT,943
709,FEIND,942
710,PASST,941
711,FRESS,941
712,TICK,941
713,RICHTUNG,940
714,FLIEGT,936
715,VERBRENN,934
716,MEI,932
717,TREFF,931
718,GELIEBT,929
719,MOR,926
720,MH,926
721,GESCHEH,923
722,LET,921
723,EBEN,920
724,UN,919
725,SOHN,918
726,GIBST,914
727,BRRA,914
728,CAN,911
729,IRGENDWAS,910
730,BESTIMMT,909
731,DRECK,907
732,TUST,905
733,BACK,904
734,EHRLICH,902
735,MARTIN,902
736,FLAMM,901
737,MUESST,899
738,WIEDERSEH,885
739,BRUED,885
740,MELODI,883
741,ROBOT,881
742,EOHH,880
743,GEHO,879
744,LASST,879
745,GEWINN,877
746,HAMMA,875
747,MITT,874
748,TOD,874
749,FETT,873
750,SPRING,872
751,INSEL,871
752,WARM,870
753,SHAWTY,869
754,GENAUSO,867
755,LINK,866
756,SOWIESO,863
757,PREIS,861
758,TRIFFT,858
759,TEUFEL,858
760,SCHREIBT,857
761,SCHNAPPI,857
762,HEH,856
763,KOHL,855
764,BASS,855
765,BLIND,854
766,DENKT,854
767,WAT,850
768,SUCHT,848
769,ORT,847
770,ERINN,847
771,WOUH,847
772,WOCH,846
773,SCHUL,841
774,FAN,841
775,SOUND,839
776,HEUL,838
777,ROLEX,838
778,BRICHT,832
779,DUMM,830
780,SCHMECKT,830
781,LIPP,828
782,GISELA,828
783,EIG,826
784,AUSS,826
785,BAHN,825
786,WAFF,823
787,ZART,823
788,WEIB,822
789,NEED,822
790,YAPMA,820
791,SPIEGEL,817
792,GESCHICHT,816
793,ART,815
794,DAT,814
795,HANDY,812
796,ATEMLOS,812
797,FAEHRT,810
798,FRISCH,808
799,FAM,803
800,PARADI,802
801,WICHTIG,800
802,SOND,799
803,DUB,796
804,KETT,796
805,SPRACH,794
806,ZERBRICHT,794
807,SCHATZ,791
808,START,791
809,HOP,790
810,SHOT,790
811,PARK,789
812,BOOT,788
813,ARBEIT,787
814,JUMP,786
815,BANK,785
816,BEGINNT,785
817,AEND,785
818,PLOETZLICH,784
819,WELCH,784
820,TAK,783
821,DEE,783
822,AUTO,782
823,YO,778
824,SCHNAPP,778
825,WHEN,778
826,VOELLIG,777
827,SHOW,777
828,DROG,777
829,GET,776
830,ERINNER,775
831,RUFST,774
832,ROS,773
833,GRUEN,773
834,VERGEB,771
835,SCHLIESS,769
836,TAUSENDMAL,769
837,KOK,767
838,HOELL,765
839,GON,765
840,ZWEIFEL,765
841,SAND,762
842,BEZAHL,757
843,TAT,755
844,WAERM,754
845,RICHI,751
846,GEGEND,749
847,GEKOMM,749
848,HELD,749
849,MANUEL,748
850,SCHLAMP,748
851,TISCH,746
852,SCHWEIN,746
853,STANDARD,746
854,SEXY,744
855,ACHT,743
856,NAS,743
857,VERLIEB,743
858,BORA,742
859,DREAM,741
860,ET,740
861,ATM,740
862,PUMP,740
863,BULL,740
864,REVOIR,739
865,PUR,735
866,GEHOERST,734
867,KOMMT,734
868,RAUM,734
869,MAUS,733
870,PALM,733
871,MARIA,732
872,VERGEHT,732
873,SCHNEE,731
874,GEWOLLT,729
875,DRUM,726
876,KUSS,724
877,JOE,722
878,REAL,720
879,AUFM,720
880,HUH,719
881,BRENN,719
882,WUNDERSCHO,718
883,SPRICHT,717
884,BLIEB,716
885,KLICK,716
886,VERAEND,715
887,OLÉ,715
888,SCHWOER,714
889,WITH,714
890,WOH,714
891,PARIS,713
892,STAENDIG,713
893,GLAENZT,713
894,ZUG,713
895,LL,712
896,ELT,710
897,WISST,710
898,WEICH,709
899,BLEI,709
900,MUND,708
901,DJ,706
902,HODI,704
903,ODI,704
904,LAYLA,703
905,MICHL,702
906,KOENIG,701
907,EST,698
908,SKRRT,698
909,BOCK,696
910,WAHL,695
911,EINZIG,694
912,JUST,693
913,LOCK,693
914,VERDI,693
915,DICKA,693
916,GESCHENK,692
917,EISKALT,692
918,STUMM,691
919,ZEUG,691
920,WINT,689
921,SEKUND,689
922,STAUB,686
923,SCHLUMPF,685
924,DUNKL,684
925,DRINK,684
926,SCHIESS,684
927,HAH,682
928,GEFALL,682
929,FUCK,682
930,LIESS,681
931,PROBLEM,681
932,GEFRAGT,681
933,MMH,681
934,KUESST,681
935,JAG,680
936,JOB,678
937,SCHWEIG,677
938,KNAST,677
939,BUNT,675
940,STYL,675
941,INN,673
942,TAUB,673
943,SELT,672
944,SPUR,672
945,TUUT,672
946,MIES,671
947,TREIB,671
948,RICHT,671
949,BEINHART,670
950,DARAUF,669
951,TRAEG,669
952,SIEG,668
953,TOR,668
954,BRECH,667
955,OOOEEE,667
956,MONSTA,667
957,DR,666
958,RING,665
959,MAEDEL,665
960,VIB,664
961,TOP,662
962,HOTEL,661
963,RADA,660
964,SCHMEISS,659
965,OOH,657
966,FUEHR,657
967,WEED,657
968,SCHLOSS,656
969,SCHLAEFT,656
970,BOX,653
971,TREU,652
972,MIO,652
973,ZUVIEL,651
974,BRETT,645
975,SONNENSCHEIN,644
976,RAT,644
977,NACKT,642
978,MIND,641
979,WARTET,640
980,ARE,640
981,LALALA,639
982,KLINGT,639
983,FICKT,638
984,LAG,637
985,ERKENN,637
986,GESCHIEHT,636
987,GEFANG,636
988,GEMEINSAM,636
989,KUR,636
990,QUE,635
991,INSTAGRAM,635
992,BENZIN,634
993,LERN,633
994,KOKAIN,632
995,TIM,632
996,WAY,630
997,WUNDERBAR,627
998,RUHIG,626
999,AGAIN,626
1000,THER,625
1001,RIES,624
1002,GOT,622
1003,VERSTEHN,621
1004,SATT,621
1005,SICHT,617
1006,WAHRHEIT,616
1007,STIMMT,616
1008,DICHT,616
1009,SCHWEST,614
1010,SCHARF,613
1011,UHH,613
1012,EINIG,611
1013,UFF,611
1014,SUED,610
1015,HAL,609
1016,IF,609
1017,WOHNUNG,607
1018,WOO,607
1019,FLIESST,606
1020,HUND,604
1021,ÂŸ,604
1022,HAENGT,602
1023,ERZAEHLT,601
1024,SCHALT,601
1025,SHEM,601
1026,RUEB,600
1027,SCHO,598
1028,BEWAHR,597
1029,FUESS,597
1030,WOHN,596
1031,EA,596
1032,ECK,596
1033,MITTERNACHT,596
1034,SAMBA,596
1035,IS,596
1036,EI,593
1037,REISS,592
1038,PIEP,592
1039,SINGT,591
1040,GRENZ,591
1041,VERSUCHT,590
1042,SAN,589
1043,HUNG,589
1044,NEV,588
1045,LES,585
1046,BOSS,583
1047,HAUPTSACH,582
1048,NIK,582
1049,HILF,581
1050,FOLG,580
1051,MAU,578
1052,RICH,578
1053,VERGANG,577
1054,EL,577
1055,NEW,577
1056,ANTWORT,575
1057,CHORUS,575
1058,HORIZONT,574
1059,GEFICKT,574
1060,SCHIEB,573
1061,ADIOS,571
1062,STERNENHIMMEL,570
1063,CHARLY,570
1064,BLACK,567
1065,KNOPF,566
1066,BRO,566
1067,RIECHT,564
1068,BEWEIS,563
1069,MAD,563
1070,SONNENBRILL,563
1071,FISCH,561
1072,NACHBARN,561
1073,EX,561
1074,PS,561
1075,PLAY,560
1076,WAHNSINN,559
1077,MILLIONA,559
1078,NENNT,559
1079,FRIED,558
1080,BODY,558
1081,NETT,556
1082,BERUEHRT,556
1083,CHART,556
1084,BIG,556
1085,LUST,555
1086,KIEZ,554
1087,BEWEGT,553
1088,KRIBBELN,553
1089,PAP,553
1090,CRUIS,553
1091,FRUEHSTUECK,552
1092,BERUEHR,550
1093,STOP,550
1094,FUELL,549
1095,ATEM,548
1096,FAND,547
1097,CHOR,547
1098,FREUNDIN,547
1099,DISCO,547
1100,PUNKT,547
1101,SEE,546
1102,REDET,546
1103,JAWOLL,546
1104,PASSI,546
1105,MAGST,546
1106,YA,545
1107,GESEHN,544
1108,TRACK,544
1109,BATZ,544
1110,ABSCHIED,543
1111,KOERP,543
1112,LEUCHT,543
1113,TOLL,542
1114,REIF,542
1115,HERBERT,541
1116,ERTRAG,540
1117,STAERK,538
1118,AUTOS,538
1119,GEWES,538
1120,NEID,538
1121,TRET,538
1122,SCHERB,537
1123,BON,536
1124,WANT,534
1125,GLOCK,534
1126,TROY,534
1127,LOST,533
1128,PENN,532
1129,PAH,532
1130,GRAS,531
1131,SUIT,531
1132,WEIÃ,529
1133,HEART,529
1134,STAY,528
1135,FROM,528
1136,GESUCHT,527
1137,MACHO,527
1138,MERO,527
1139,SCHICKSAL,526
1140,CHICK,526
1141,CHING,526
1142,AENDERT,525
1143,SCHICKERIA,524
1144,WOOH,524
1145,GRAB,522
1146,FIEL,521
1147,GEFAHR,521
1148,REGELN,521
1149,ERFOLG,521
1150,WOS,520
1151,VERLETZT,519
1152,VERSTECKT,519
1153,SI,517
1154,JACK,517
1155,HERZLICH,517
1156,JEANNY,517
1157,FOTOS,517
1158,DRITT,516
1159,AWAY,516
1160,KNIE,516
1161,GEHOFFT,516
1162,BEREU,515
1163,SPAETI,515
1164,KILO,513
1165,DAUERT,513
1166,TI,513
1167,KOMPLETT,512
1168,PET,512
1169,GEDULD,512
1170,KUEK,512
1171,GEBRACHT,511
1172,FÃ,511
1173,LIEF,510
1174,HM,510
1175,FUHR,509
1176,REGNET,509
1177,FREUD,508
1178,JEAN,508
1179,SCHREIEN,508
1180,RUN,507
1181,GESCHAFFT,506
1182,MADONNA,506
1183,GEFAEHR,505
1184,ZEIL,505
1185,FASS,504
1186,VERTRAUT,503
1187,LAB,502
1188,ORIGINAL,502
1189,UMSON,500
1190,ERLEBT,500
1191,BY,500
1192,DUES,499
1193,KURT,499
1194,VERSTEHT,498
1195,APPLAUS,498
1196,BLOED,498
1197,FOTZ,498
1198,ERWACHT,497
1199,WUENSCHT,497
1200,VIERTEL,497
1201,DREIZEHN,496
1202,ANNA,496
1203,AMG,496
1204,DRAK,496
1205,MENG,495
1206,TILIDIN,495
1207,NEM,494
1208,PA,494
1209,BRAUN,493
1210,SAU,493
1211,RUECK,492
1212,BLUM,490
1213,HIELT,490
1214,SUNNY,490
1215,SCHWIMM,489
1216,FLUEGEL,489
1217,FIEB,488
1218,HINAUS,487
1219,BEKANNT,487
1220,HEIMLICH,487
1221,FEUERWERK,487
1222,TAEGLICH,486
1223,LEHR,486
1224,HEBT,485
1225,DAGEG,485
1226,BRUST,485
1227,BANA,485
1228,NOW,484
1229,TAXI,484
1230,HULAPALU,484
1231,DESWEG,483
1232,BRIEF,482
1233,KICK,482
1234,LO,482
1235,DAHIN,481
1236,ANGEL,480
1237,HOOD,480
1238,NASS,479
1239,ASTRONAUT,478
1240,KILL,478
1241,COWBOY,478
1242,BET,477
1243,LADY,476
1244,MINUT,475
1245,FINDET,475
1246,MAK,474
1247,GEWALT,474
1248,MIST,471
1249,LECK,471
1250,HURRA,471
1251,DIGGI,471
1252,BEAUTIFUL,470
1253,LEY,469
1254,SCHWEB,469
1255,ICE,469
1256,ARSCHLOCH,469
1257,AMO,469
1258,RHYTHMUS,468
1259,BESOND,468
1260,OK,467
1261,VERBOT,467
1262,DAY,467
1263,HAV,466
1264,NICH,465
1265,GEBT,465
1266,TE,464
1267,SCHWUL,464
1268,RAUF,463
1269,PIEPT,463
1270,FAC,462
1271,LAST,461
1272,KID,461
1273,COLA,460
1274,LEBST,460
1275,WHO,460
1276,GENIESS,460
1277,SCHMUCK,460
1278,UEBERLEBT,459
1279,UEBERHAUPT,457
1280,KONTROLLI,457
1281,SCHEISSEGAL,457
1282,ANTONIA,456
1283,HAZ,456
1284,KLAPPT,455
1285,CHEF,454
1286,FLECK,453
1287,KART,452
1288,VERSTECK,452
1289,DIEB,452
1290,ZIEMLICH,451
1291,SCHLUCK,451
1292,VERPASS,451
1293,BUT,451
1294,JOINT,451
1295,GRUESS,451
1296,SUEND,450
1297,THEY,450
1298,PRAESIDENT,450
1299,SCHAUST,449
1300,SAMSTAG,449
1301,DIAMANT,449
1302,PISS,449
1303,DOEOE,449
1304,SETZT,447
1305,HOS,447
1306,WARN,447
1307,WOFU,446
1308,GELACHT,446
1309,WAH,446
1310,DAHEIM,445
1311,HOT,445
1312,GAEB,445
1313,GEWEINT,445
1314,KATZ,445
1315,KLEID,444
1316,KUGELN,444
1317,VERPISS,444
1318,WACHT,443
1319,SANG,441
1320,DECK,441
1321,NUTT,439
1322,KLING,439
1323,EISBA,439
1324,NEGRO,439
1325,HASST,438
1326,BLOND,438
1327,HEIL,436
1328,BOAH,436
1329,PECH,436
1330,BEREUT,436
1331,HAN,436
1332,HYP,436
1333,ABI,436
1334,NATUR,435
1335,FAK,435
1336,VERLIERT,434
1337,JEN,434
1338,PRIMO,434
1339,HEIMAT,432
1340,BEGEGN,432
1341,FLOW,432
1342,BABA,431
1343,COPACABANA,431
1344,MAUL,431
1345,KAFA,431
1346,ASCH,430
1347,WALLAH,430
1348,SEITD,429
1349,TEXT,429
1350,CAPITAL,429
1351,STURM,428
1352,WOAH,427
1353,VERLAESST,426
1354,BESOFF,426
1355,KNUTSCHFLECK,426
1356,GART,425
1357,MERKT,424
1358,ZOG,424
1359,ENG,424
1360,STROPH,424
1361,KRIMINELL,424
1362,FREU,423
1363,ZWANZIG,423
1364,KOMMED,422
1365,STELLT,422
1366,RIECH,422
1367,TEU,422
1368,SPRICH,420
1369,SUECHTIG,420
1370,ZOLL,420
1371,VE,419
1372,MARLE,419
1373,DRIP,419
1374,STIRB,418
1375,ERKLA,418
1376,NEUN,418
1377,HELLO,417
1378,NORD,417
1379,FERTIG,416
1380,JEAHH,416
1381,QDH,416
1382,WODKA,415
1383,CHAMPAGN,414
1384,WETT,414
1385,SPRECH,413
1386,BESTELLT,413
1387,HELF,413
1388,BESCHISS,413
1389,RAUCHT,413
1390,EURO,413
1391,KOSTET,411
1392,GEIST,411
1393,DACH,411
1394,KNALLT,411
1395,LADI,411
1396,MET,410
